type,properties.streamorder,properties.streamID,properties.followingStreamID,properties.id,geometry.type,geometry.coordinates
Feature,1,3123,2276,3123_16,Point,-73.16622447544584;10.38460013424054
Feature,3,3126;7044;7045,2726,3126_1,Point,-72.877506745391;10.494988408962199
Feature,3,3126,2726,3126_2,Point,-72.87544432148628;10.502780524603429
Feature,3,3126,2726,3126_3,Point,-72.8772730787584;10.509358003265453
Feature,3,3126,2726,3126_4,Point,-72.88222268968305;10.515881052423605
Feature,3,3126,2726,3126_5,Point,-72.88867989535117;10.520664588943209
Feature,3,3126,2726,3126_6,Point,-72.89270794326862;10.527343596891283
Feature,3,3126,2726,3126_7,Point,-72.88975650619516;10.534651477402285
Feature,3,3126,2726,3126_8,Point,-72.89080934541252;10.542000965009782
Feature,3,3126,2726,3126_9,Point,-72.89427814766759;10.54797551282268
Feature,3,3126,2726,3126_10,Point,-72.89810524617313;10.555060249188738
Feature,3,3126,2726,3126_11,Point,-72.90088649332306;10.56249833432004
Feature,3,3126,2726,3126_12,Point,-72.89854742566807;10.5694333925267
Feature,3,3126,2726,3126_13,Point,-72.90052909571831;10.576117897566997
Feature,3,3126,2726,3126_14,Point,-72.90593530137684;10.581704043574486
Feature,3,3126,2726,3126_15,Point,-72.90690561692568;10.588809336502289
Feature,3,3126,2726,3126_16,Point,-72.91341049446918;10.593566645775956
Feature,3,3126,2726,3126_17,Point,-72.92066069498034;10.592827808639964
Feature,3,3126,2726,3126_18,Point,-72.92810266272323;10.589962082906021
Feature,3,3126,2726,3126_19,Point,-72.93537772203207;10.58860589826472
Feature,3,3126,2726,3126_20,Point,-72.94162065184383;10.583408350210819
Feature,3,3126,2726,3126_21,Point,-72.94789481998279;10.57934730056218
Feature,3,3126,2726,3126_22,Point,-72.95500085827128;10.582269797712627
Feature,3,3126,2726,3126_23,Point,-72.96061194710633;10.58760497984266
Feature,3,3126,2726,3126_24,Point,-72.96499881532782;10.592582725670793
Feature,3,3126,2726,3126_25,Point,-72.97146022081364;10.596416769069256
Feature,3,3126,2726,3126_26,Point,-72.9789109935618;10.598151817378975
Feature,3,3126,2726,3126_27,Point,-72.98677636920127;10.599738854899048
Feature,3,3126,2726,3126_28,Point,-72.99349924710768;10.602674281469687
Feature,3,3126,2726,3126_29,Point,-72.99715336794;10.607374141899184
